iter	Logloss
0	0.6308019056
1	0.5869593511
2	0.5572191735
3	0.5364609631
4	0.5223118872
5	0.5109021552
6	0.5009655953
7	0.4935366178
8	0.4870538997
9	0.4753653143
10	0.4560586503
11	0.4498498126
12	0.4453696276
13	0.4423721843
14	0.439376438
15	0.4362762337
16	0.4334506726
17	0.4297273881
18	0.4267756111
19	0.4244689931
20	0.4228709684
21	0.4208100587
22	0.4189412158
23	0.4173480652
24	0.4130404465
25	0.4111299204
26	0.4098138231
27	0.408471397
28	0.4044807734
29	0.4026813255
30	0.4015337339
31	0.4003718985
32	0.3991303774
33	0.3980605695
34	0.3969878188
35	0.3925969064
36	0.3919908063
37	0.390966946
38	0.3897248544
39	0.3887715582
40	0.3879182671
41	0.3871430782
42	0.3843031514
43	0.3829971895
44	0.3814600732
45	0.3806550384
46	0.3800462832
47	0.3793119887
48	0.3788744816
49	0.3782496991
50	0.3776537188
51	0.3756805251
52	0.3750572404
53	0.3745143499
54	0.3738320142
55	0.3731452227
56	0.372437333
57	0.3720507621
58	0.3713332152
59	0.3708057752
60	0.3704472775
61	0.3700293573
62	0.3696430222
63	0.3692492544
64	0.3687526104
65	0.3678403313
66	0.3664546943
67	0.3662246707
68	0.3658388993
69	0.3651632811
70	0.3647567718
71	0.3643281051
72	0.3638539437
73	0.3636115008
74	0.3633476264
75	0.3629080408
76	0.3626719085
77	0.362312026
78	0.3618119049
79	0.3615264972
80	0.361237572
81	0.3604440099
82	0.3597729913
83	0.3594708684
84	0.359256133
85	0.3591133043
86	0.3589600977
87	0.3584891625
88	0.3581910283
89	0.3577008962
90	0.3572887396
91	0.3570042035
92	0.356705238
93	0.3565465145
94	0.3555282936
95	0.3551279024
96	0.3549136476
97	0.3546645324
98	0.354533139
99	0.3543181822
100	0.3541121873
101	0.3538982234
102	0.3536988727
103	0.3533639544
104	0.3530450049
105	0.352903413
106	0.3526377322
107	0.3523021659
108	0.3520660486
109	0.3519217386
110	0.351503134
111	0.3512810382
112	0.3509878804
113	0.3507520939
114	0.3506917715
115	0.3498778332
116	0.3495883019
117	0.3474490827
118	0.3471841437
119	0.346549115
120	0.3462558894
121	0.3461313314
122	0.3458999871
123	0.3456768892
124	0.3452204725
125	0.3448626523
126	0.3446641588
127	0.3444914153
128	0.3443539448
129	0.3442197805
130	0.3441022108
131	0.3438361539
132	0.343713883
133	0.3435566518
134	0.3432638151
135	0.3432024676
136	0.3430910598
137	0.3429921293
138	0.3428715976
139	0.3426776888
140	0.3425247119
141	0.3423205337
142	0.3421975
143	0.342101887
144	0.3420245064
145	0.3418378296
146	0.3417014015
147	0.3414521562
148	0.3412868112
149	0.3411955936
150	0.3410817868
151	0.3409974856
152	0.3409050138
153	0.3404256689
154	0.3404155293
155	0.3403373617
156	0.3402106639
157	0.3399492795
158	0.3397878263
159	0.3395780374
160	0.3394919921
161	0.339426471
162	0.3393617825
163	0.3391543656
164	0.3378322043
165	0.3377502022
166	0.3375794752
167	0.337422801
168	0.3373265558
169	0.3371713738
170	0.3368667784
171	0.3368070013
172	0.3366030807
173	0.336483014
174	0.3363701238
175	0.336278501
176	0.3360507759
177	0.335956959
178	0.3356897907
179	0.3355687119
180	0.3354852683
181	0.3353879892
182	0.3352965511
183	0.3352082762
184	0.3351207404
185	0.3350703511
186	0.3349208387
187	0.3348333225
188	0.3346758625
189	0.3345695834
190	0.3344480901
191	0.3340263422
192	0.3338932699
193	0.3338133797
194	0.3337871937
195	0.3335771123
196	0.3335548023
197	0.3334319388
198	0.3333273637
199	0.3332723299
200	0.333204165
201	0.3331981469
202	0.3331423101
203	0.3329686054
204	0.3328967887
205	0.3327956454
206	0.3327567717
207	0.3327503891
208	0.3327067543
209	0.3326343935
210	0.3324010343
211	0.3323985518
212	0.332260799
213	0.332120245
214	0.3320252306
215	0.3319046091
216	0.3318220866
217	0.3317677176
218	0.3316816006
219	0.3316061502
220	0.3314439525
221	0.3314400003
222	0.3314285941
223	0.3313499806
224	0.3312088956
225	0.3311376772
226	0.3310853747
227	0.3309452656
228	0.330815297
229	0.3307284802
230	0.3306860524
231	0.3306802583
232	0.3305865661
233	0.3305105025
234	0.3304211726
235	0.3303029148
236	0.3301709016
237	0.3301548274
238	0.3301410736
239	0.3299691141
240	0.3299150182
241	0.3298467026
242	0.3297627411
243	0.3297436539
244	0.3296918333
245	0.329657515
246	0.3295972796
247	0.3295937162
248	0.3294888908
249	0.3293998612
250	0.3293726535
251	0.3293423993
252	0.3292535805
253	0.3291308636
254	0.3291271003
255	0.3290785732
256	0.3288773804
257	0.3288360724
258	0.3280148157
259	0.3279072687
260	0.3277419154
261	0.3276408049
262	0.3275377384
263	0.3274788125
264	0.3274156174
265	0.3273547508
266	0.3272931185
267	0.3271837683
268	0.327136959
269	0.3270972403
270	0.32699826
271	0.3269521791
272	0.326900745
273	0.3269002408
274	0.3268346808
275	0.3264037007
276	0.3263665101
277	0.3263517991
278	0.3262806098
279	0.3262033504
280	0.3261037974
281	0.3260928734
282	0.3260531864
283	0.3258649709
284	0.325802909
285	0.3257477999
286	0.3256550192
287	0.3256131224
288	0.3255769246
289	0.3255231822
290	0.3254921123
291	0.3254261134
292	0.3253242877
293	0.3252511031
294	0.3251935308
295	0.3250908892
296	0.3250500052
297	0.3250338461
298	0.325008831
299	0.3249687835
300	0.3249590732
301	0.3249331818
302	0.3248681187
303	0.3246827962
304	0.3243631597
305	0.3243537428
306	0.3242245248
307	0.3241689108
308	0.3241172863
309	0.3240811094
310	0.3240635754
311	0.324030355
312	0.3239994207
313	0.3239515403
314	0.3238749018
315	0.3237714694
316	0.323706664
317	0.3237003067
318	0.3236699302
319	0.3236300533
320	0.323576726
321	0.3235742706
322	0.3235410228
