iter	Passed	Remaining
0	47	47353
1	90	44973
2	123	41065
3	148	36968
4	191	38136
5	224	37228
6	260	36921
7	292	36326
8	331	36454
9	357	35431
10	397	35698
11	434	35768
12	464	35253
13	503	35472
14	543	35673
15	580	35703
16	608	35210
17	645	35219
18	685	35414
19	714	34999
20	744	34691
21	778	34602
22	811	34453
23	844	34345
24	871	33996
25	902	33826
26	931	33579
27	962	33429
28	997	33387
29	1035	33475
30	1061	33185
31	1085	32846
32	1118	32776
33	1143	32476
34	1172	32340
35	1206	32296
36	1226	31934
37	1269	32127
38	1300	32055
39	1336	32084
40	1367	31988
41	1402	32000
42	1437	31990
43	1482	32211
44	1519	32240
45	1553	32210
46	1591	32265
47	1633	32405
48	1676	32545
49	1717	32631
50	1754	32653
51	1788	32605
52	1821	32547
53	1855	32508
54	1890	32478
55	1923	32423
56	1948	32233
57	1996	32420
58	2033	32433
59	2069	32428
60	2108	32457
61	2149	32514
62	2185	32503
63	2225	32549
64	2252	32396
65	2288	32384
66	2326	32395
67	2357	32309
68	2389	32244
69	2423	32195
70	2454	32117
71	2486	32050
72	2519	31990
73	2546	31871
74	2570	31701
75	2598	31586
76	2630	31535
77	2667	31536
78	2706	31550
79	2733	31434
80	2763	31355
81	2803	31380
82	2823	31191
83	2856	31148
84	2890	31116
85	2925	31095
86	2951	30972
87	2990	30992
88	3027	30993
89	3054	30882
90	3092	30894
91	3129	30890
92	3166	30879
93	3187	30726
94	3219	30667
95	3252	30625
96	3287	30608
97	3327	30627
98	3369	30666
99	3405	30647
100	3432	30554
101	3466	30514
102	3501	30496
103	3542	30522
104	3580	30523
105	3621	30547
106	3654	30498
107	3697	30537
108	3740	30576
109	3777	30560
110	3821	30604
111	3867	30661
112	3909	30686
113	3934	30582
114	3968	30541
115	4012	30578
116	4051	30578
117	4096	30616
118	4138	30635
119	4177	30631
120	4211	30596
121	4249	30580
122	4286	30560
123	4320	30522
124	4355	30489
125	4392	30471
126	4430	30455
127	4470	30454
128	4510	30455
129	4551	30457
130	4598	30502
131	4631	30455
132	4656	30353
133	4690	30314
134	4723	30263
135	4749	30174
136	4780	30112
137	4813	30068
138	4850	30047
139	4881	29989
140	4907	29897
141	4943	29870
142	4983	29866
143	5025	29876
144	5055	29812
145	5088	29763
146	5111	29658
147	5149	29643
148	5185	29613
149	5214	29548
150	5243	29481
151	5273	29419
152	5304	29364
153	5342	29348
154	5366	29257
155	5400	29216
156	5429	29151
157	5461	29105
158	5494	29064
159	5522	28993
160	5548	28911
161	5576	28844
162	5601	28765
163	5626	28681
164	5655	28617
165	5680	28540
166	5708	28474
167	5738	28418
168	5777	28406
169	5804	28338
170	5833	28278
171	5862	28222
172	5897	28190
173	5913	28071
174	5943	28018
175	5968	27944
176	6011	27953
177	6046	27923
178	6085	27913
179	6119	27878
180	6151	27832
181	6176	27761
182	6204	27700
183	6234	27646
184	6253	27549
185	6273	27456
186	6310	27434
187	6342	27395
188	6371	27338
189	6397	27275
190	6435	27259
191	6471	27232
192	6496	27162
193	6537	27161
194	6558	27075
195	6586	27017
196	6614	26961
197	6645	26916
198	6669	26847
199	6695	26781
200	6713	26686
201	6738	26619
202	6768	26574
203	6801	26541
204	6831	26491
205	6847	26393
206	6876	26342
207	6899	26270
208	6932	26238
209	6951	26151
210	6992	26146
211	7026	26116
212	7055	26067
213	7084	26020
214	7116	25983
215	7151	25955
216	7170	25874
217	7204	25844
218	7233	25796
219	7258	25736
220	7282	25668
221	7310	25620
222	7332	25548
223	7362	25506
224	7391	25461
225	7431	25449
226	7451	25373
227	7489	25358
228	7522	25326
229	7552	25285
230	7580	25236
231	7595	25143
232	7624	25099
233	7654	25055
234	7685	25018
235	7712	24967
236	7738	24914
237	7769	24876
238	7799	24835
239	7828	24791
240	7846	24712
241	7862	24626
242	7891	24584
243	7921	24543
244	7951	24504
245	7987	24482
246	8029	24479
247	8059	24438
248	8093	24411
249	8118	24355
250	8140	24292
251	8177	24271
252	8207	24233
253	8241	24204
254	8265	24148
255	8296	24110
256	8329	24080
257	8354	24026
258	8386	23992
259	8419	23964
260	8460	23955
261	8495	23929
262	8524	23887
263	8556	23853
264	8585	23813
265	8611	23763
266	8640	23721
267	8671	23684
268	8700	23642
269	8720	23578
270	8750	23539
271	8778	23494
272	8810	23463
273	8828	23392
274	8854	23344
275	8880	23295
276	8897	23222
277	8930	23193
278	8960	23156
279	8991	23120
280	9032	23111
281	9056	23059
282	9089	23028
283	9121	22996
284	9150	22956
285	9182	22923
286	9210	22881
287	9240	22845
288	9269	22803
289	9299	22766
290	9323	22716
291	9350	22672
292	9379	22632
293	9407	22589
294	9442	22566
295	9471	22527
296	9512	22515
297	9549	22495
298	9580	22460
299	9611	22427
300	9629	22362
301	9670	22350
302	9715	22349
303	9750	22323
304	9783	22292
305	9813	22256
306	9844	22222
307	9876	22189
308	9905	22151
309	9937	22118
310	9968	22083
311	10011	22077
312	10044	22045
313	10079	22020
314	10114	21994
315	10143	21956
316	10177	21928
317	10215	21907
318	10252	21887
319	10290	21867
320	10332	21856
321	10366	21826
322	10391	21780
